condition,game_number,total_coins
rough_start_high_reflection_max,1,1.375
rough_start_high_reflection_max,2,12.625
rough_start_high_reflection_max,3,13.375
rough_start_high_reflection_max,4,14.0
rough_start_high_reflection_max,5,14.0
rough_start_high_reflection_max,6,14.0
rough_start_high_reflection_max,7,14.125
rough_start_high_reflection_max,8,14.125
rough_start_high_reflection_max,9,14.125
rough_start_high_reflection_max,10,14.25
rough_start_high_none_max,1,2.6666666666666665
rough_start_high_none_max,2,10.666666666666666
rough_start_high_none_max,3,12.333333333333334
rough_start_high_none_max,4,14.11111111111111
rough_start_high_none_max,5,14.777777777777779
rough_start_high_none_max,6,15.333333333333334
rough_start_high_none_max,7,15.555555555555555
rough_start_high_none_max,8,15.555555555555555
rough_start_high_none_max,9,15.555555555555555
rough_start_high_none_max,10,15.666666666666666
rough_start_none_reflection_max,1,1.6428571428571428
rough_start_none_reflection_max,2,6.357142857142857
rough_start_none_reflection_max,3,5.857142857142857
rough_start_none_reflection_max,4,7.785714285714286
rough_start_none_reflection_max,5,7.071428571428571
rough_start_none_reflection_max,6,7.357142857142857
rough_start_none_reflection_max,7,8.357142857142858
rough_start_none_reflection_max,8,8.714285714285714
rough_start_none_reflection_max,9,8.928571428571429
rough_start_none_reflection_max,10,9.0
rough_start_none_none_max,1,1.1428571428571428
rough_start_none_none_max,2,4.642857142857143
rough_start_none_none_max,3,4.142857142857143
rough_start_none_none_max,4,5.214285714285714
rough_start_none_none_max,5,6.142857142857143
rough_start_none_none_max,6,5.071428571428571
rough_start_none_none_max,7,5.357142857142857
rough_start_none_none_max,8,5.857142857142857
rough_start_none_none_max,9,6.071428571428571
rough_start_none_none_max,10,5.571428571428571
