condition,game_number,total_coins
trust_converge_high_reflection_max,1,9.285714285714286
trust_converge_high_reflection_max,2,15.714285714285714
trust_converge_high_reflection_max,3,15.857142857142858
trust_converge_high_reflection_max,4,16.0
trust_converge_high_reflection_max,5,16.0
trust_converge_high_reflection_max,6,16.0
trust_converge_high_reflection_max,7,16.0
trust_converge_high_reflection_max,8,16.0
trust_converge_high_reflection_max,9,16.0
trust_converge_high_reflection_max,10,16.0
trust_converge_high_none_max,1,9.6
trust_converge_high_none_max,2,15.7
trust_converge_high_none_max,3,15.9
trust_converge_high_none_max,4,15.9
trust_converge_high_none_max,5,16.0
trust_converge_high_none_max,6,16.0
trust_converge_high_none_max,7,16.0
trust_converge_high_none_max,8,16.0
trust_converge_high_none_max,9,16.0
trust_converge_high_none_max,10,16.0
trust_converge_none_reflection_max,1,4.454545454545454
trust_converge_none_reflection_max,2,6.0
trust_converge_none_reflection_max,3,6.636363636363637
trust_converge_none_reflection_max,4,7.7272727272727275
trust_converge_none_reflection_max,5,7.818181818181818
trust_converge_none_reflection_max,6,9.0
trust_converge_none_reflection_max,7,8.363636363636363
trust_converge_none_reflection_max,8,9.363636363636363
trust_converge_none_reflection_max,9,9.545454545454545
trust_converge_none_reflection_max,10,9.727272727272727
trust_converge_none_none_max,1,3.9
trust_converge_none_none_max,2,4.5
trust_converge_none_none_max,3,5.2
trust_converge_none_none_max,4,5.4
trust_converge_none_none_max,5,4.7
trust_converge_none_none_max,6,5.4
trust_converge_none_none_max,7,5.5
trust_converge_none_none_max,8,4.5
trust_converge_none_none_max,9,5.7
trust_converge_none_none_max,10,5.6
