game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260520_021146,2026-05-20 02:11:46.886227,2026-05-20 02:14:41.204027,3,SUCCESS,C,2,"B,C",174.3178
20260520_021441,2026-05-20 02:14:41.206860,2026-05-20 02:17:42.449474,3,SUCCESS,B,2,"A,B",181.242614
20260520_021742,2026-05-20 02:17:42.453254,2026-05-20 02:20:32.159666,2,SUCCESS,C,3,"A,C,D",169.706412
20260520_022032,2026-05-20 02:20:32.162686,2026-05-20 02:22:27.640153,2,SUCCESS,C,3,"A,C,D",115.477467
20260520_022227,2026-05-20 02:22:27.663200,2026-05-20 02:24:08.001828,1,SUCCESS,B,4,"A,B,C,D",100.338628
20260520_022408,2026-05-20 02:24:08.005678,2026-05-20 02:25:18.808022,1,SUCCESS,B,4,"A,B,C,D",70.802344
20260520_022518,2026-05-20 02:25:18.812060,2026-05-20 02:26:03.633866,1,SUCCESS,B,4,"A,B,C,D",44.821806
20260520_022603,2026-05-20 02:26:03.636394,2026-05-20 02:26:46.611050,1,SUCCESS,B,4,"A,B,C,D",42.974656
20260520_022646,2026-05-20 02:26:46.612595,2026-05-20 02:27:15.323680,1,SUCCESS,B,4,"A,B,C,D",28.711085
20260520_022715,2026-05-20 02:27:15.326279,2026-05-20 02:27:41.632446,1,SUCCESS,B,4,"A,B,C,D",26.306167
20260520_022741,2026-05-20 02:27:41.634912,2026-05-20 02:28:08.300985,1,SUCCESS,B,4,"A,B,C,D",26.666073
