game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260522_015622,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015622,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260522_015622,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015622,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015622,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260522_015622,2,A,N/A,N/A,DEAD,N/A,False,0
20260522_015622,2,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015622,2,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260522_015622,3,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260522_015622,3,A,N/A,N/A,DEAD,N/A,False,0
20260522_015622,3,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015622,3,B,N/A,N/A,DEAD,N/A,False,0
20260522_015622,4,C,N/A,N/A,DEAD,N/A,False,0
20260522_015622,4,A,N/A,N/A,DEAD,N/A,False,0
20260522_015622,4,D,Pass,N/A,DIED,no_volunteer,False,0
20260522_015622,4,B,N/A,N/A,DEAD,N/A,False,0
20260522_015921,1,C,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015921,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260522_015921,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015921,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015921,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260522_015921,2,A,N/A,N/A,DEAD,N/A,False,0
20260522_015921,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260522_015921,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260522_015921,3,C,"Volunteer: Q1-A+B, Q2-B+C, Q3-C+B, Q4-C",N/A,ALIVE,N/A,False,2
20260522_015921,3,A,N/A,N/A,DEAD,N/A,False,0
20260522_015921,3,D,N/A,N/A,DEAD,N/A,False,0
20260522_015921,3,B,"Volunteer: Q1-A+B, Q2-B+C, Q3-C+B, Q4-C",N/A,ALIVE,N/A,False,2
20260522_020221,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020221,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260522_020221,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020221,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020221,2,C,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260522_020221,2,A,N/A,N/A,DEAD,N/A,False,0
20260522_020221,2,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020221,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260522_020433,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020433,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020433,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020433,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020547,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020547,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020547,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020547,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020650,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020650,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020650,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020650,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020733,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020733,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020733,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020733,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020811,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020811,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020811,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020811,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020840,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020840,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020840,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020840,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020906,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020906,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020906,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020906,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_020931,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260522_020931,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_020931,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_020931,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
