game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260520_213257,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260520_213257,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_213257,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213257,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_213257,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_213257,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_213257,2,A,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260520_213257,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213257,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_213257,3,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A+B, Q4-D",N/A,ALIVE,N/A,False,2
20260520_213257,3,A,N/A,N/A,DEAD,N/A,False,0
20260520_213257,3,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213514,1,C,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_213514,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_213514,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213514,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_213514,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_213514,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_213514,2,A,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_213514,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213726,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_213726,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_213726,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213726,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_213809,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260520_213809,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_213809,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213809,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_213809,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_213809,2,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260520_213809,2,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_213809,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_213809,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_213809,3,B,N/A,N/A,DEAD,N/A,False,0
20260520_213809,3,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_213809,3,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_213809,4,C,N/A,N/A,DEAD,N/A,False,0
20260520_213809,4,B,N/A,N/A,DEAD,N/A,False,0
20260520_213809,4,A,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_213809,4,D,N/A,N/A,DEAD,N/A,False,0
20260520_214219,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260520_214219,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_214219,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_214219,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_214219,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_214219,2,B,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260520_214219,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_214219,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_214219,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_214219,3,B,N/A,N/A,DEAD,N/A,False,0
20260520_214219,3,A,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_214219,3,D,Pass,N/A,ALIVE,N/A,False,4
20260520_214219,4,C,N/A,N/A,DEAD,N/A,False,0
20260520_214219,4,B,N/A,N/A,DEAD,N/A,False,0
20260520_214219,4,A,N/A,N/A,DEAD,N/A,False,0
20260520_214219,4,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_214539,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_214539,1,A,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_214539,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_214539,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_214539,2,C,"Volunteer: Q1-A+B, Q2-B, Q3-C, Q4-D+A+C",N/A,ALIVE,N/A,False,3
20260520_214539,2,B,"Volunteer: Q1-A+B, Q2-B, Q3-C, Q4-D+A+C",N/A,ALIVE,N/A,False,3
20260520_214539,2,A,N/A,N/A,DEAD,N/A,False,0
20260520_214539,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_215010,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_215010,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215010,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_215010,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215244,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_215244,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215244,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_215244,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215342,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_215342,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215342,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_215342,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215417,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_215417,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215417,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_215417,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215442,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_215442,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_215442,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_215442,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
