game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20260521_213525,A,anthropic:claude-opus-4-6,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213525,B,anthropic:claude-opus-4-6,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213525,C,anthropic:claude-opus-4-6,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213525,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213750,A,anthropic:claude-opus-4-6,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213750,B,anthropic:claude-opus-4-6,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213750,C,anthropic:claude-opus-4-6,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213750,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_213953,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_213953,B,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_213953,C,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_213953,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214102,A,anthropic:claude-opus-4-6,True,True,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260521_214102,B,anthropic:claude-opus-4-6,False,False,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260521_214102,C,anthropic:claude-opus-4-6,False,False,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260521_214102,D,dummy,False,False,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260521_214352,A,anthropic:claude-opus-4-6,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260521_214352,B,anthropic:claude-opus-4-6,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260521_214352,C,anthropic:claude-opus-4-6,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260521_214352,D,dummy,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260521_214636,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214636,B,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214636,C,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214636,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214808,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214808,B,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214808,C,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214808,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214912,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214912,B,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214912,C,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214912,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214955,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214955,B,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214955,C,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_214955,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215027,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215027,B,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215027,C,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215027,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215055,A,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215055,B,anthropic:claude-opus-4-6,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215055,C,anthropic:claude-opus-4-6,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_215055,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
