game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260521_215130,2026-05-21 21:51:30.391560,2026-05-21 21:54:40.243113,3,SUCCESS,A,2,"A,D",189.851553
20260521_215440,2026-05-21 21:54:40.245359,2026-05-21 21:56:06.244857,1,SUCCESS,B,4,"A,B,C,D",85.999498
20260521_215606,2026-05-21 21:56:06.248768,2026-05-21 21:57:26.196219,1,SUCCESS,B,4,"A,B,C,D",79.947451
20260521_215726,2026-05-21 21:57:26.199616,2026-05-21 22:01:06.816974,4,ALL_DEAD,None,0,,220.617358
20260521_220106,2026-05-21 22:01:06.823169,2026-05-21 22:04:35.113929,3,SUCCESS,A,2,"A,D",208.29076
20260521_220435,2026-05-21 22:04:35.143861,2026-05-21 22:07:51.255774,2,SUCCESS,B,3,"A,B,C",196.111913
20260521_220751,2026-05-21 22:07:51.259614,2026-05-21 22:09:41.329187,2,SUCCESS,C,3,"A,B,C",110.069573
20260521_220941,2026-05-21 22:09:41.334082,2026-05-21 22:11:09.404756,2,SUCCESS,C,3,"A,C,D",88.070674
20260521_221109,2026-05-21 22:11:09.408745,2026-05-21 22:13:13.200298,1,SUCCESS,B,4,"A,B,C,D",123.791553
20260521_221313,2026-05-21 22:13:13.203616,2026-05-21 22:14:03.865096,1,SUCCESS,B,4,"A,B,C,D",50.66148
20260521_221403,2026-05-21 22:14:03.869617,2026-05-21 22:14:51.483930,1,SUCCESS,B,4,"A,B,C,D",47.614313
