game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260521_000715,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_000715,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260521_000715,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_000715,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_000715,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_000715,2,C,N/A,N/A,DEAD,N/A,False,0
20260521_000715,2,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260521_000715,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_000715,3,D,Pass,N/A,DIED,no_volunteer,False,0
20260521_000715,3,C,N/A,N/A,DEAD,N/A,False,0
20260521_000715,3,A,N/A,N/A,DEAD,N/A,False,0
20260521_000715,3,B,Verify: Q4,N/A,ALIVE,N/A,False,1
20260521_000715,4,D,N/A,N/A,DEAD,N/A,False,0
20260521_000715,4,C,N/A,N/A,DEAD,N/A,False,0
20260521_000715,4,A,N/A,N/A,DEAD,N/A,False,0
20260521_000715,4,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+B, Q4-B",N/A,ALIVE,N/A,False,1
20260521_001001,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_001001,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_001001,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_001001,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_001105,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_001105,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_001105,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_001105,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_001154,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_001154,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_001154,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_001154,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_001236,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_001236,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260521_001236,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_001236,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_001236,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260521_001236,2,C,N/A,N/A,DEAD,N/A,False,0
20260521_001236,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_001236,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_001236,3,D,N/A,N/A,DEAD,N/A,False,0
20260521_001236,3,C,N/A,N/A,DEAD,N/A,False,0
20260521_001236,3,A,Verify: Q4,N/A,ALIVE,N/A,False,1
20260521_001236,3,B,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260521_001236,4,D,N/A,N/A,DEAD,N/A,False,0
20260521_001236,4,C,N/A,N/A,DEAD,N/A,False,0
20260521_001236,4,A,"Volunteer: Q1-A+B, Q2-B+A, Q3-C+A+B, Q4-A+B",N/A,ALIVE,N/A,False,1
20260521_001236,4,B,N/A,N/A,DEAD,N/A,False,0
20260521_001526,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_001526,1,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260521_001526,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_001526,1,B,Verify: Q4,N/A,ALIVE,N/A,False,3
20260521_001526,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_001526,2,C,N/A,N/A,DEAD,N/A,False,0
20260521_001526,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
