game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260531_010142,2026-05-31 01:01:42.311860,2026-05-31 01:04:37.364795,3,SUCCESS,B,2,"B,C",175.052935
20260531_010437,2026-05-31 01:04:37.366849,2026-05-31 01:06:49.591926,3,SUCCESS,C,2,"B,C",132.225077
20260531_010649,2026-05-31 01:06:49.594710,2026-05-31 01:08:44.380620,1,SUCCESS,A,4,"A,B,C,D",114.78591
20260531_010844,2026-05-31 01:08:44.382138,2026-05-31 01:09:53.604902,1,SUCCESS,A,4,"A,B,C,D",69.222764
20260531_010953,2026-05-31 01:09:53.607491,2026-05-31 01:12:17.298955,2,SUCCESS,C,3,"B,C,D",143.691464
20260531_011217,2026-05-31 01:12:17.300499,2026-05-31 01:14:33.684270,1,SUCCESS,A,4,"A,B,C,D",136.383771
20260531_011433,2026-05-31 01:14:33.686566,2026-05-31 01:15:28.310272,1,SUCCESS,A,4,"A,B,C,D",54.623706
20260531_011528,2026-05-31 01:15:28.312350,2026-05-31 01:16:02.153932,1,SUCCESS,A,4,"A,B,C,D",33.841582
20260531_011602,2026-05-31 01:16:02.156410,2026-05-31 01:16:31.030999,1,SUCCESS,A,4,"A,B,C,D",28.874589
20260531_011631,2026-05-31 01:16:31.034146,2026-05-31 01:17:03.204243,1,SUCCESS,A,4,"A,B,C,D",32.170097
20260531_011703,2026-05-31 01:17:03.207247,2026-05-31 01:17:31.961327,1,SUCCESS,A,4,"A,B,C,D",28.75408
