player,game_id,survival,coins
A,20260531_010142,False,0
B,20260531_010142,True,2
C,20260531_010142,True,2
D,20260531_010142,False,0
A,20260531_010437,False,0
B,20260531_010437,True,2
C,20260531_010437,True,2
D,20260531_010437,False,0
A,20260531_010649,True,4
B,20260531_010649,True,3
C,20260531_010649,True,3
D,20260531_010649,True,4
A,20260531_010844,True,4
B,20260531_010844,True,3
C,20260531_010844,True,3
D,20260531_010844,True,4
A,20260531_010953,False,0
B,20260531_010953,True,2
C,20260531_010953,True,3
D,20260531_010953,True,4
A,20260531_011217,True,4
B,20260531_011217,True,3
C,20260531_011217,True,3
D,20260531_011217,True,4
A,20260531_011433,True,4
B,20260531_011433,True,3
C,20260531_011433,True,3
D,20260531_011433,True,4
A,20260531_011528,True,4
B,20260531_011528,True,3
C,20260531_011528,True,3
D,20260531_011528,True,4
A,20260531_011602,True,4
B,20260531_011602,True,3
C,20260531_011602,True,3
D,20260531_011602,True,4
A,20260531_011631,True,4
B,20260531_011631,True,3
C,20260531_011631,True,3
D,20260531_011631,True,4
A,20260531_011703,True,4
B,20260531_011703,True,3
C,20260531_011703,True,3
D,20260531_011703,True,4
