game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260520_023229,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_023229,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_023229,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_023229,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_023229,2,A,N/A,N/A,DEAD,N/A,False,0
20260520_023229,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_023229,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_023229,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_023229,3,A,N/A,N/A,DEAD,N/A,False,0
20260520_023229,3,C,Verify: Q2,N/A,ALIVE,N/A,False,1
20260520_023229,3,D,N/A,N/A,DEAD,N/A,False,0
20260520_023229,3,B,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_023229,4,A,N/A,N/A,DEAD,N/A,False,0
20260520_023229,4,C,"Volunteer: Q1-A+B+C, Q2-B+A+C, Q3-C+B, Q4-C+B",N/A,ALIVE,N/A,False,1
20260520_023229,4,D,N/A,N/A,DEAD,N/A,False,0
20260520_023229,4,B,N/A,N/A,DEAD,N/A,False,0
20260520_023553,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_023553,1,C,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_023553,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_023553,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_023553,2,A,N/A,N/A,DEAD,N/A,False,0
20260520_023553,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_023553,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_023553,2,B,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260520_023553,3,A,N/A,N/A,DEAD,N/A,False,0
20260520_023553,3,C,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C, Q4-C",N/A,ALIVE,N/A,False,2
20260520_023553,3,D,Pass,N/A,ALIVE,N/A,False,4
20260520_023553,3,B,N/A,N/A,DEAD,N/A,False,0
20260520_023853,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_023853,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_023853,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_023853,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024041,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024041,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024041,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024041,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024205,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024205,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024205,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024205,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024300,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024300,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024300,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024300,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024340,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024340,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024340,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024340,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024406,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024406,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024406,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024406,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024426,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024426,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024426,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024426,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024442,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024442,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024442,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024442,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_024459,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_024459,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_024459,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_024459,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
