game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260522_135856,2026-05-22 13:58:56.774968,2026-05-22 14:02:21.772110,3,SUCCESS,C,2,"B,C",204.997142
20260522_140221,2026-05-22 14:02:21.776726,2026-05-22 14:05:15.943112,3,SUCCESS,B,2,"B,D",174.166386
20260522_140515,2026-05-22 14:05:15.948222,2026-05-22 14:09:29.311946,2,SUCCESS,A,3,"A,C,D",253.363724
20260522_140929,2026-05-22 14:09:29.316218,2026-05-22 14:11:38.326315,2,SUCCESS,A,3,"A,C,D",129.010097
20260522_141138,2026-05-22 14:11:38.328707,2026-05-22 14:16:46.218746,2,SUCCESS,C,3,"A,B,C",307.890039
20260522_141646,2026-05-22 14:16:46.227566,2026-05-22 14:19:32.541119,2,SUCCESS,A,3,"A,B,D",166.313553
20260522_141932,2026-05-22 14:19:32.544883,2026-05-22 14:22:52.889024,2,SUCCESS,A,3,"A,B,C",200.344141
20260522_142252,2026-05-22 14:22:52.892201,2026-05-22 14:24:51.704081,1,SUCCESS,B,4,"A,B,C,D",118.81188
20260522_142451,2026-05-22 14:24:51.708549,2026-05-22 14:25:47.535847,1,SUCCESS,B,4,"A,B,C,D",55.827298
20260522_142547,2026-05-22 14:25:47.537686,2026-05-22 14:26:35.270394,1,SUCCESS,B,4,"A,B,C,D",47.732708
20260522_142635,2026-05-22 14:26:35.275216,2026-05-22 14:27:24.618274,1,SUCCESS,B,4,"A,B,C,D",49.343058
