game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260521_004823,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_004823,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_004823,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_004823,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260521_004823,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_004823,2,B,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260521_004823,2,A,N/A,N/A,DEAD,N/A,False,0
20260521_004823,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260521_004823,3,D,Pass,N/A,ALIVE,N/A,False,4
20260521_004823,3,B,N/A,N/A,DEAD,N/A,False,0
20260521_004823,3,A,N/A,N/A,DEAD,N/A,False,0
20260521_004823,3,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+B, Q4-D+C",N/A,ALIVE,N/A,False,2
20260521_005037,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005037,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260521_005037,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_005037,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_005037,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005037,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_005037,2,C,N/A,N/A,DEAD,N/A,False,0
20260521_005037,2,B,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260521_005037,3,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005037,3,B,N/A,N/A,DEAD,N/A,False,0
20260521_005037,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A+B, Q4-D",N/A,ALIVE,N/A,False,2
20260521_005037,3,C,N/A,N/A,DEAD,N/A,False,0
20260521_005308,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005308,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260521_005308,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260521_005308,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_005308,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005308,2,B,N/A,N/A,DEAD,N/A,False,0
20260521_005308,2,A,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260521_005308,2,C,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260521_005709,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005709,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260521_005709,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_005709,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260521_005709,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_005709,2,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_005709,2,A,N/A,N/A,DEAD,N/A,False,0
20260521_005709,2,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-C",N/A,ALIVE,N/A,False,3
20260521_010140,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_010140,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260521_010140,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260521_010140,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_010140,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_010140,2,B,N/A,N/A,DEAD,N/A,False,0
20260521_010140,2,A,Verify: Q4,N/A,ALIVE,N/A,False,2
20260521_010140,2,C,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-C",N/A,ALIVE,N/A,False,3
20260521_010544,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_010544,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260521_010544,1,B,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260521_010544,1,A,Verify: Q4,N/A,ALIVE,N/A,False,3
20260521_010544,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_010544,2,B,N/A,N/A,DEAD,N/A,False,0
20260521_010544,2,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D+A+B+C",N/A,ALIVE,N/A,False,3
