game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260531_113714,2026-05-31 11:37:14.049747,2026-05-31 11:39:50.176460,3,SUCCESS,A,2,"A,D",156.126713
20260531_113950,2026-05-31 11:39:50.182235,2026-05-31 11:43:08.209968,3,SUCCESS,C,2,"A,C",198.027733
20260531_114308,2026-05-31 11:43:08.213580,2026-05-31 11:44:52.506783,1,SUCCESS,B,4,"A,B,C,D",104.293203
20260531_114452,2026-05-31 11:44:52.510651,2026-05-31 11:47:56.039802,3,SUCCESS,C,2,"C,D",183.529151
20260531_114756,2026-05-31 11:47:56.044849,2026-05-31 11:52:31.601667,2,SUCCESS,C,3,"A,B,C",275.556818
20260531_115231,2026-05-31 11:52:31.605960,2026-05-31 11:55:46.986654,2,SUCCESS,C,3,"A,C,D",195.380694
20260531_115546,2026-05-31 11:55:46.990939,2026-05-31 11:57:21.404023,1,SUCCESS,B,4,"A,B,C,D",94.413084
20260531_115721,2026-05-31 11:57:21.407839,2026-05-31 11:58:35.402438,1,SUCCESS,B,4,"A,B,C,D",73.994599
20260531_115835,2026-05-31 11:58:35.406593,2026-05-31 11:59:27.702439,1,SUCCESS,B,4,"A,B,C,D",52.295846
20260531_115927,2026-05-31 11:59:27.706526,2026-05-31 12:00:04.937604,1,SUCCESS,B,4,"A,B,C,D",37.231078
20260531_120004,2026-05-31 12:00:04.940434,2026-05-31 12:00:31.921008,1,SUCCESS,B,4,"A,B,C,D",26.980574
