player,game_id,survival,coins
A,20260531_122441,True,2
B,20260531_122441,False,0
C,20260531_122441,True,2
D,20260531_122441,False,0
A,20260531_122749,True,2
B,20260531_122749,False,0
C,20260531_122749,True,2
D,20260531_122749,False,0
A,20260531_123047,True,2
B,20260531_123047,False,0
C,20260531_123047,True,2
D,20260531_123047,False,0
A,20260531_123301,False,0
B,20260531_123301,False,0
C,20260531_123301,False,0
D,20260531_123301,False,0
A,20260531_123712,False,0
B,20260531_123712,False,0
C,20260531_123712,True,2
D,20260531_123712,True,4
A,20260531_124220,True,3
B,20260531_124220,True,3
C,20260531_124220,True,2
D,20260531_124220,False,0
A,20260531_124741,False,0
B,20260531_124741,True,3
C,20260531_124741,True,2
D,20260531_124741,True,4
A,20260531_125012,True,4
B,20260531_125012,True,3
C,20260531_125012,True,3
D,20260531_125012,True,4
A,20260531_125151,True,4
B,20260531_125151,True,3
C,20260531_125151,True,3
D,20260531_125151,True,4
A,20260531_125308,True,4
B,20260531_125308,True,3
C,20260531_125308,True,3
D,20260531_125308,True,4
A,20260531_125428,True,4
B,20260531_125428,True,3
C,20260531_125428,True,3
D,20260531_125428,True,4
