game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260522_015049,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015049,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015049,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260522_015049,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015049,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260522_015049,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260522_015049,2,B,N/A,N/A,DEAD,N/A,False,0
20260522_015049,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260522_015049,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A, Q4-C",N/A,ALIVE,N/A,False,2
20260522_015049,3,D,N/A,N/A,DEAD,N/A,False,0
20260522_015049,3,B,N/A,N/A,DEAD,N/A,False,0
20260522_015049,3,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A, Q4-C",N/A,ALIVE,N/A,False,2
20260522_015423,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015423,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015423,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260522_015423,1,C,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015423,2,A,Verify: Q4,N/A,ALIVE,N/A,False,2
20260522_015423,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260522_015423,2,B,N/A,N/A,DEAD,N/A,False,0
20260522_015423,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260522_015423,3,A,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C, Q4-D+A+C",N/A,ALIVE,N/A,False,2
20260522_015423,3,D,N/A,N/A,DEAD,N/A,False,0
20260522_015423,3,B,N/A,N/A,DEAD,N/A,False,0
20260522_015423,3,C,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C, Q4-D+A+C",N/A,ALIVE,N/A,False,2
20260522_015706,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015706,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015706,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_015706,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015822,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015822,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015822,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260522_015822,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015931,1,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015931,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260522_015931,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260522_015931,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260522_015931,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260522_015931,2,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015931,2,B,N/A,N/A,DEAD,N/A,False,0
20260522_015931,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260522_015931,3,A,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260522_015931,3,D,Pass,N/A,ALIVE,N/A,False,4
20260522_015931,3,B,N/A,N/A,DEAD,N/A,False,0
20260522_015931,3,C,N/A,N/A,DEAD,N/A,False,0
20260522_015931,4,A,N/A,N/A,DEAD,N/A,False,0
20260522_015931,4,D,Pass,N/A,DIED,no_volunteer,False,0
