game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260522_015049,2026-05-22 01:50:49.532680,2026-05-22 01:54:23.980875,3,SUCCESS,A,2,"A,C",214.448195
20260522_015423,2026-05-22 01:54:23.984738,2026-05-22 01:57:06.949277,3,SUCCESS,C,2,"A,C",162.964539
20260522_015706,2026-05-22 01:57:06.954006,2026-05-22 01:58:22.417282,1,SUCCESS,B,4,"A,B,C,D",75.463276
20260522_015822,2026-05-22 01:58:22.419805,2026-05-22 01:59:31.480890,1,SUCCESS,B,4,"A,B,C,D",69.061085
20260522_015931,2026-05-22 01:59:31.483206,2026-05-22 02:02:47.497629,4,ALL_DEAD,None,0,,196.014423
20260522_020247,2026-05-22 02:02:47.503944,2026-05-22 02:07:24.153373,2,SUCCESS,C,3,"A,C,D",276.649429
20260522_020724,2026-05-22 02:07:24.157823,2026-05-22 02:10:35.172201,1,SUCCESS,B,4,"A,B,C,D",191.014378
20260522_021035,2026-05-22 02:10:35.173886,2026-05-22 02:11:30.904754,1,SUCCESS,B,4,"A,B,C,D",55.730868
20260522_021130,2026-05-22 02:11:30.909801,2026-05-22 02:12:18.022961,1,SUCCESS,B,4,"A,B,C,D",47.11316
20260522_021218,2026-05-22 02:12:18.025351,2026-05-22 02:12:53.583942,1,SUCCESS,B,4,"A,B,C,D",35.558591
20260522_021253,2026-05-22 02:12:53.587493,2026-05-22 02:13:37.472122,1,SUCCESS,B,4,"A,B,C,D",43.884629
