player,game_id,survival,coins
A,20260519_214516,False,0
B,20260519_214516,False,0
C,20260519_214516,False,0
D,20260519_214516,False,0
A,20260519_214732,True,2
B,20260519_214732,True,3
C,20260519_214732,True,3
D,20260519_214732,False,0
A,20260519_215049,True,3
B,20260519_215049,True,4
C,20260519_215049,True,3
D,20260519_215049,True,4
A,20260519_215154,True,3
B,20260519_215154,True,4
C,20260519_215154,True,3
D,20260519_215154,True,4
A,20260519_215240,True,3
B,20260519_215240,True,4
C,20260519_215240,True,3
D,20260519_215240,True,4
A,20260519_215310,True,3
B,20260519_215310,True,4
C,20260519_215310,True,3
D,20260519_215310,True,4
A,20260519_215333,True,3
B,20260519_215333,True,4
C,20260519_215333,True,3
D,20260519_215333,True,4
A,20260519_215407,True,3
B,20260519_215407,True,4
C,20260519_215407,True,3
D,20260519_215407,True,4
A,20260519_215432,True,3
B,20260519_215432,True,4
C,20260519_215432,True,3
D,20260519_215432,True,4
A,20260519_215456,True,3
B,20260519_215456,True,4
C,20260519_215456,True,3
D,20260519_215456,True,4
A,20260519_215521,True,3
B,20260519_215521,True,4
C,20260519_215521,True,3
D,20260519_215521,True,4
