game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260521_154253,2026-05-21 15:42:53.070901,2026-05-21 15:46:50.765287,3,SUCCESS,C,2,"A,C",237.694386
20260521_154650,2026-05-21 15:46:50.769423,2026-05-21 15:48:30.869292,3,SUCCESS,B,2,"B,D",100.099869
20260521_154830,2026-05-21 15:48:30.874038,2026-05-21 15:50:12.363682,1,SUCCESS,A,4,"A,B,C,D",101.489644
20260521_155012,2026-05-21 15:50:12.367907,2026-05-21 15:51:48.251988,1,SUCCESS,A,4,"A,B,C,D",95.884081
20260521_155148,2026-05-21 15:51:48.256206,2026-05-21 15:52:30.427108,1,SUCCESS,A,4,"A,B,C,D",42.170902
20260521_155230,2026-05-21 15:52:30.459145,2026-05-21 15:52:55.592209,1,SUCCESS,A,4,"A,B,C,D",25.133064
20260521_155255,2026-05-21 15:52:55.594215,2026-05-21 15:53:19.687237,1,SUCCESS,A,4,"A,B,C,D",24.093022
20260521_155319,2026-05-21 15:53:19.690407,2026-05-21 15:53:47.001574,1,SUCCESS,A,4,"A,B,C,D",27.311167
20260521_155347,2026-05-21 15:53:47.004793,2026-05-21 15:54:07.707667,1,SUCCESS,A,4,"A,B,C,D",20.702874
20260521_155407,2026-05-21 15:54:07.710992,2026-05-21 15:54:29.483351,1,SUCCESS,A,4,"A,B,C,D",21.772359
20260521_155429,2026-05-21 15:54:29.486628,2026-05-21 15:54:47.877859,1,SUCCESS,A,4,"A,B,C,D",18.391231
