game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260610_115359,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_115359,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_115359,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115359,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260610_115359,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260610_115359,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260610_115359,2,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115359,2,A,N/A,N/A,DEAD,N/A,False,0
20260610_115359,3,C,N/A,N/A,DEAD,N/A,False,0
20260610_115359,3,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+B, Q4-D+C",N/A,ALIVE,N/A,False,2
20260610_115359,3,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115359,3,A,N/A,N/A,DEAD,N/A,False,0
20260610_115626,1,C,Verify: Q2,N/A,ALIVE,N/A,False,3
20260610_115626,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_115626,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115626,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260610_115626,2,C,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260610_115626,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260610_115626,2,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115626,2,A,N/A,N/A,DEAD,N/A,False,0
20260610_115806,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_115806,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_115806,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115806,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_115912,1,C,Verify: Q2,N/A,ALIVE,N/A,False,3
20260610_115912,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_115912,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_115912,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120017,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120017,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120017,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120017,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120131,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120131,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120131,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120131,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120208,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120208,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120208,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120208,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120238,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120238,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120238,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120238,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120256,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120256,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120256,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120256,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120314,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120314,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120314,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120314,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120329,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260610_120329,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260610_120329,1,D,Pass,N/A,ALIVE,N/A,False,4
20260610_120329,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
