game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260610_115359,2026-06-10 11:53:59.515236,2026-06-10 11:56:26.511301,3,SUCCESS,B,2,"B,D",146.996065
20260610_115626,2026-06-10 11:56:26.516058,2026-06-10 11:58:06.665707,2,SUCCESS,C,3,"B,C,D",100.149649
20260610_115806,2026-06-10 11:58:06.669173,2026-06-10 11:59:12.541902,1,SUCCESS,A,4,"A,B,C,D",65.872729
20260610_115912,2026-06-10 11:59:12.545608,2026-06-10 12:00:17.223029,1,SUCCESS,A,4,"A,B,C,D",64.677421
20260610_120017,2026-06-10 12:00:17.227338,2026-06-10 12:01:31.467653,1,SUCCESS,A,4,"A,B,C,D",74.240315
20260610_120131,2026-06-10 12:01:31.471566,2026-06-10 12:02:08.635304,1,SUCCESS,A,4,"A,B,C,D",37.163738
20260610_120208,2026-06-10 12:02:08.639459,2026-06-10 12:02:38.707697,1,SUCCESS,C,4,"A,B,C,D",30.068238
20260610_120238,2026-06-10 12:02:38.710485,2026-06-10 12:02:56.949685,1,SUCCESS,A,4,"A,B,C,D",18.2392
20260610_120256,2026-06-10 12:02:56.950770,2026-06-10 12:03:14.240237,1,SUCCESS,C,4,"A,B,C,D",17.289467
20260610_120314,2026-06-10 12:03:14.244403,2026-06-10 12:03:29.537313,1,SUCCESS,C,4,"A,B,C,D",15.29291
20260610_120329,2026-06-10 12:03:29.537999,2026-06-10 12:03:44.320227,1,SUCCESS,C,4,"A,B,C,D",14.782228
