game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260520_200714,1,C,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_200714,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_200714,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_200714,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_200714,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_200714,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_200714,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_200714,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_200714,3,D,N/A,N/A,DEAD,N/A,False,0
20260520_200714,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_200714,3,A,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_200714,3,B,Verify: Q4,N/A,ALIVE,N/A,False,1
20260520_200714,4,D,N/A,N/A,DEAD,N/A,False,0
20260520_200714,4,C,N/A,N/A,DEAD,N/A,False,0
20260520_200714,4,A,N/A,N/A,DEAD,N/A,False,0
20260520_200714,4,B,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C+A+B, Q4-A+B",N/A,ALIVE,N/A,False,1
20260520_201013,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201013,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201013,1,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_201013,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_201013,2,D,N/A,N/A,DEAD,N/A,False,0
20260520_201013,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_201013,2,A,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_201013,2,B,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_201408,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_201408,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260520_201408,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201408,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_201408,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201408,2,C,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260520_201408,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_201408,2,B,N/A,N/A,DEAD,N/A,False,0
20260520_201615,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_201615,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201615,1,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_201615,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_201615,2,D,N/A,N/A,DEAD,N/A,False,0
20260520_201615,2,C,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260520_201615,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_201615,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_201829,1,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_201829,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201829,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201829,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_201829,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201829,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_201829,2,A,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260520_201829,2,B,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260520_202203,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_202203,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_202203,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_202203,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_202203,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_202203,2,C,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260520_202203,2,A,N/A,N/A,DEAD,N/A,False,0
20260520_202203,2,B,"Volunteer: Q1-A+B, Q2-B+A, Q3-C, Q4-D+C",N/A,ALIVE,N/A,False,3
20260520_202622,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_202622,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_202622,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_202622,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_202836,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_202836,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_202836,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_202836,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_203030,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_203030,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_203030,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_203030,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_203103,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_203103,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_203103,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_203103,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_203147,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20260520_203147,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_203147,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_203147,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
