player,game_id,survival,coins
A,20260520_204656,True,1
B,20260520_204656,False,0
C,20260520_204656,True,2
D,20260520_204656,False,0
A,20260520_205034,True,2
B,20260520_205034,False,0
C,20260520_205034,True,2
D,20260520_205034,False,0
A,20260520_205358,True,3
B,20260520_205358,True,4
C,20260520_205358,True,3
D,20260520_205358,True,4
A,20260520_205509,True,3
B,20260520_205509,True,4
C,20260520_205509,True,3
D,20260520_205509,True,4
A,20260520_205613,True,3
B,20260520_205613,True,4
C,20260520_205613,True,3
D,20260520_205613,True,4
A,20260520_205739,True,3
B,20260520_205739,True,4
C,20260520_205739,True,3
D,20260520_205739,True,4
A,20260520_205823,True,3
B,20260520_205823,True,4
C,20260520_205823,True,3
D,20260520_205823,True,4
A,20260520_205842,True,3
B,20260520_205842,True,4
C,20260520_205842,True,3
D,20260520_205842,True,4
A,20260520_205904,True,3
B,20260520_205904,True,4
C,20260520_205904,True,3
D,20260520_205904,True,4
A,20260520_205920,True,3
B,20260520_205920,True,4
C,20260520_205920,True,3
D,20260520_205920,True,4
A,20260520_205941,True,3
B,20260520_205941,True,4
C,20260520_205941,True,3
D,20260520_205941,True,4
