game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260518_225622,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260518_225622,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_225622,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260518_225622,1,D,Pass,N/A,ALIVE,N/A,False,4
20260518_225622,2,B,N/A,N/A,DEAD,N/A,False,0
20260518_225622,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260518_225622,2,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260518_225622,2,D,Pass,N/A,ALIVE,N/A,False,4
20260518_225846,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_225846,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_225846,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260518_225846,1,D,Pass,N/A,ALIVE,N/A,False,4
20260518_225846,2,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260518_225846,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260518_225846,2,A,N/A,N/A,DEAD,N/A,False,0
20260518_225846,2,D,Pass,N/A,ALIVE,N/A,False,4
20260518_230107,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_230107,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230107,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230107,1,D,Pass,N/A,ALIVE,N/A,False,4
20260518_230354,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_230354,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230354,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230354,1,D,Pass,N/A,ALIVE,N/A,False,4
20260518_230553,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_230553,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230553,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230553,1,D,Pass,N/A,ALIVE,N/A,False,4
20260518_230634,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_230634,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230634,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230634,1,D,Pass,N/A,ALIVE,N/A,False,4
20260518_230713,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260518_230713,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230713,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260518_230713,1,D,Pass,N/A,ALIVE,N/A,False,4
