game_id,round,question_id,capsule_label,correct_answer,player_answers
20260521_141514,1,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_141514,1,Q2,Q2-B+A,48,"B,A:48"
20260521_141514,1,Q3,Q3-C,11,C:11
20260521_141514,1,Q4,Q4-D,5,D:5
20260521_141514,2,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_141514,2,Q2,Q2-B+A,48,"B,A:48"
20260521_141514,2,Q3,Q3-C,11,C:11
20260521_141514,2,Q4,Q4-D+B+C,5,"D,B,C:5"
20260521_141514,3,Q1,Q1-A+B+C,7,"A,B,C:7"
20260521_141514,3,Q2,Q2-B+A,48,"B,A:48"
20260521_141514,3,Q3,Q3-C,11,C:11
20260521_141514,3,Q4,Q4-D+B+C,5,"D,B,C:5"
20260521_141655,1,Q1,Q1-A+B,82,"A,B:82"
20260521_141655,1,Q2,Q2-B+A+C,84,"B,A,C:84"
20260521_141655,1,Q3,Q3-C,83,C:83
20260521_141655,1,Q4,Q4-D,56,D:56
20260521_141655,2,Q1,Q1-A+B,82,"A,B:82"
20260521_141655,2,Q2,Q2-B+A+C,84,"B,A,C:84"
20260521_141655,2,Q3,Q3-C+A,83,"C,A:83"
20260521_141655,2,Q4,Q4-D+C,56,"D,C:56"
20260521_141655,3,Q1,Q1-A+B,82,"A,B:82"
20260521_141655,3,Q2,Q2-B+A+C,84,"B,A,C:84"
20260521_141655,3,Q3,Q3-C+A,83,"C,A:83"
20260521_141655,3,Q4,Q4-D+C,56,"D,C:56"
20260521_141953,1,Q1,Q1-A,23,A:23
20260521_141953,1,Q2,Q2-B,7,B:7
20260521_141953,1,Q3,Q3-C,64,C:64
20260521_141953,1,Q4,Q4-D+C,38,"D,C:38"
20260521_142207,1,Q1,Q1-A,11,A:11
20260521_142207,1,Q2,Q2-B,48,B:48
20260521_142207,1,Q3,Q3-C,43,C:43
20260521_142207,1,Q4,Q4-D+C,84,"D,C:84"
20260521_142313,1,Q1,Q1-A,84,A:84
20260521_142313,1,Q2,Q2-B,70,B:70
20260521_142313,1,Q3,Q3-C,86,C:86
20260521_142313,1,Q4,Q4-D+C,88,"D,C:88"
20260521_142342,1,Q1,Q1-A,7,A:7
20260521_142342,1,Q2,Q2-B,73,B:73
20260521_142342,1,Q3,Q3-C,9,C:9
20260521_142342,1,Q4,Q4-D+C,5,"D,C:5"
20260521_142415,1,Q1,Q1-A,9,A:9
20260521_142415,1,Q2,Q2-B,38,B:38
20260521_142415,1,Q3,Q3-C,27,C:27
20260521_142415,1,Q4,Q4-D+C,76,"D,C:76"
