player,game_id,survival,coins
A,20260521_141514,False,0
B,20260521_141514,False,0
C,20260521_141514,True,2
D,20260521_141514,True,4
A,20260521_141655,False,0
B,20260521_141655,False,0
C,20260521_141655,True,2
D,20260521_141655,True,4
A,20260521_141953,True,4
B,20260521_141953,True,4
C,20260521_141953,True,3
D,20260521_141953,True,4
A,20260521_142207,True,4
B,20260521_142207,True,4
C,20260521_142207,True,3
D,20260521_142207,True,4
A,20260521_142313,True,4
B,20260521_142313,True,4
C,20260521_142313,True,3
D,20260521_142313,True,4
A,20260521_142342,True,4
B,20260521_142342,True,4
C,20260521_142342,True,3
D,20260521_142342,True,4
A,20260521_142415,True,4
B,20260521_142415,True,4
C,20260521_142415,True,3
D,20260521_142415,True,4
