game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260519_220233,1,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220233,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220233,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220233,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260519_220233,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260519_220233,2,C,Verify: Q3,N/A,ALIVE,N/A,False,2
20260519_220233,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260519_220233,2,A,N/A,N/A,DEAD,N/A,False,0
20260519_220233,3,D,N/A,N/A,DEAD,N/A,False,0
20260519_220233,3,C,Verify: Q4,N/A,ALIVE,N/A,False,1
20260519_220233,3,B,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260519_220233,3,A,N/A,N/A,DEAD,N/A,False,0
20260519_220233,4,D,N/A,N/A,DEAD,N/A,False,0
20260519_220233,4,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+B, Q4-B+C",N/A,ALIVE,N/A,False,1
20260519_220233,4,B,N/A,N/A,DEAD,N/A,False,0
20260519_220233,4,A,N/A,N/A,DEAD,N/A,False,0
20260519_220357,1,D,Pass,N/A,DIED,no_volunteer,False,0
20260519_220357,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220357,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220357,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260519_220357,2,D,N/A,N/A,DEAD,N/A,False,0
20260519_220357,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260519_220357,2,B,Verify: Q4,N/A,ALIVE,N/A,False,2
20260519_220357,2,A,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260519_220357,3,D,N/A,N/A,DEAD,N/A,False,0
20260519_220357,3,C,Verify: Q2,N/A,ALIVE,N/A,False,1
20260519_220357,3,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A, Q4-D+B+C",N/A,ALIVE,N/A,False,2
20260519_220357,3,A,N/A,N/A,DEAD,N/A,False,0
20260519_220529,1,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220529,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220529,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260519_220529,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260519_220529,2,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220529,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260519_220529,2,B,N/A,N/A,DEAD,N/A,False,0
20260519_220529,2,A,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260519_220529,3,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220529,3,C,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260519_220529,3,B,N/A,N/A,DEAD,N/A,False,0
20260519_220529,3,A,N/A,N/A,DEAD,N/A,False,0
20260519_220529,4,D,Pass,N/A,DIED,no_volunteer,False,0
20260519_220529,4,C,N/A,N/A,DEAD,N/A,False,0
20260519_220529,4,B,N/A,N/A,DEAD,N/A,False,0
20260519_220529,4,A,N/A,N/A,DEAD,N/A,False,0
20260519_220629,1,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220629,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260519_220629,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220629,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260519_220629,2,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220629,2,C,N/A,N/A,DEAD,N/A,False,0
20260519_220629,2,B,Verify: Q3,N/A,DIED,no_volunteer,False,0
20260519_220629,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260519_220629,3,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220629,3,C,N/A,N/A,DEAD,N/A,False,0
20260519_220629,3,B,N/A,N/A,DEAD,N/A,False,0
20260519_220629,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A+B, Q4-D",N/A,ALIVE,N/A,False,2
20260519_220725,1,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220725,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260519_220725,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260519_220725,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260519_220725,2,D,Pass,N/A,ALIVE,N/A,False,4
20260519_220725,2,C,N/A,N/A,DEAD,N/A,False,0
20260519_220725,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
