game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260519_220233,2026-05-19 22:02:33.858922,2026-05-19 22:03:57.700096,4,SUCCESS,C,1,C,83.841174
20260519_220357,2026-05-19 22:03:57.704860,2026-05-19 22:05:29.265774,3,SUCCESS,B,2,"B,C",91.560914
20260519_220529,2026-05-19 22:05:29.271342,2026-05-19 22:06:29.257549,4,ALL_DEAD,None,0,,59.986207
20260519_220629,2026-05-19 22:06:29.263525,2026-05-19 22:07:25.105553,3,SUCCESS,A,2,"A,D",55.842028
20260519_220725,2026-05-19 22:07:25.109547,2026-05-19 22:08:01.250656,2,SUCCESS,A,3,"A,B,D",36.141109
20260519_220801,2026-05-19 22:08:01.252886,2026-05-19 22:09:04.905841,3,SUCCESS,A,2,"A,B",63.652955
20260519_220904,2026-05-19 22:09:04.907653,2026-05-19 22:10:12.952838,4,SUCCESS,C,1,C,68.045185
20260519_221012,2026-05-19 22:10:12.956082,2026-05-19 22:11:06.956535,4,SUCCESS,C,1,C,54.000453
20260519_221106,2026-05-19 22:11:06.959530,2026-05-19 22:12:11.500855,3,SUCCESS,A,2,"A,C",64.541325
20260519_221211,2026-05-19 22:12:11.501913,2026-05-19 22:12:58.752597,4,ALL_DEAD,None,0,,47.250684
20260519_221258,2026-05-19 22:12:58.758072,2026-05-19 22:13:53.149806,4,SUCCESS,C,1,C,54.391734
