player,game_id,survival,coins
A,20260520_034213,False,0
B,20260520_034213,False,0
C,20260520_034213,False,0
D,20260520_034213,False,0
A,20260520_034308,False,0
B,20260520_034308,True,1
C,20260520_034308,False,0
D,20260520_034308,False,0
A,20260520_034430,False,0
B,20260520_034430,False,0
C,20260520_034430,True,1
D,20260520_034430,False,0
A,20260520_034548,False,0
B,20260520_034548,False,0
C,20260520_034548,True,1
D,20260520_034548,False,0
A,20260520_034651,False,0
B,20260520_034651,False,0
C,20260520_034651,True,1
D,20260520_034651,False,0
A,20260520_034802,False,0
B,20260520_034802,False,0
C,20260520_034802,False,0
D,20260520_034802,False,0
A,20260520_034858,False,0
B,20260520_034858,False,0
C,20260520_034858,False,0
D,20260520_034858,False,0
A,20260520_035044,True,1
B,20260520_035044,True,2
C,20260520_035044,False,0
D,20260520_035044,False,0
A,20260520_035239,False,0
B,20260520_035239,False,0
C,20260520_035239,False,0
D,20260520_035239,False,0
A,20260520_035339,False,0
B,20260520_035339,True,2
C,20260520_035339,True,2
D,20260520_035339,False,0
A,20260520_035543,True,1
B,20260520_035543,False,0
C,20260520_035543,True,2
D,20260520_035543,False,0
