game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260521_143026,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_143026,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260521_143026,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_143026,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_143026,2,C,N/A,N/A,DEAD,N/A,False,0
20260521_143026,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_143026,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260521_143026,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_143026,3,C,N/A,N/A,DEAD,N/A,False,0
20260521_143026,3,B,Verify: Q4,N/A,ALIVE,N/A,False,1
20260521_143026,3,D,N/A,N/A,DEAD,N/A,False,0
20260521_143026,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A+B, Q4-D",N/A,ALIVE,N/A,False,2
20260521_143159,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260521_143159,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_143159,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_143159,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260521_143159,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260521_143159,2,B,N/A,N/A,DEAD,N/A,False,0
20260521_143159,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_143159,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_143159,3,C,N/A,N/A,DEAD,N/A,False,0
20260521_143159,3,B,N/A,N/A,DEAD,N/A,False,0
20260521_143159,3,D,Pass,N/A,ALIVE,N/A,False,4
20260521_143159,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A, Q4-D+C",N/A,ALIVE,N/A,False,2
20260521_143255,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_143255,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_143255,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_143255,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260521_143255,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260521_143255,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260521_143255,2,D,Pass,N/A,ALIVE,N/A,False,4
20260521_143255,2,A,N/A,N/A,DEAD,N/A,False,0
20260521_143255,3,C,N/A,N/A,DEAD,N/A,False,0
20260521_143255,3,B,Verify: Q4,N/A,ALIVE,N/A,False,1
20260521_143255,3,D,Pass,N/A,DIED,no_volunteer,False,0
