player,game_id,survival,coins
A,20260521_144536,True,2
B,20260521_144536,False,0
C,20260521_144536,True,1
D,20260521_144536,False,0
A,20260521_144651,True,2
B,20260521_144651,False,0
C,20260521_144651,False,0
D,20260521_144651,True,4
A,20260521_144748,True,3
B,20260521_144748,True,4
C,20260521_144748,True,3
D,20260521_144748,True,4
A,20260521_144832,True,3
B,20260521_144832,True,4
C,20260521_144832,True,3
D,20260521_144832,True,4
A,20260521_144852,True,3
B,20260521_144852,True,4
C,20260521_144852,True,3
D,20260521_144852,True,4
A,20260521_144909,True,3
B,20260521_144909,True,4
C,20260521_144909,True,3
D,20260521_144909,True,4
A,20260521_144930,True,3
B,20260521_144930,True,4
C,20260521_144930,True,3
D,20260521_144930,True,4
