game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260520_200808,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_200808,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_200808,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_200808,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_200808,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_200808,2,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260520_200808,2,A,N/A,N/A,DEAD,N/A,False,0
20260520_200808,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_200808,3,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_200808,3,B,N/A,N/A,DEAD,N/A,False,0
20260520_200808,3,A,N/A,N/A,DEAD,N/A,False,0
20260520_200808,3,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_200808,4,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-C",N/A,ALIVE,N/A,False,2
20260520_200808,4,B,N/A,N/A,DEAD,N/A,False,0
20260520_200808,4,A,N/A,N/A,DEAD,N/A,False,0
20260520_200808,4,D,N/A,N/A,DEAD,N/A,False,0
20260520_200929,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_200929,1,B,Verify: Q3,N/A,ALIVE,N/A,False,3
20260520_200929,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_200929,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_200929,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_200929,2,B,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_200929,2,A,N/A,N/A,DEAD,N/A,False,0
20260520_200929,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_200929,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_200929,3,B,"Volunteer: Q1-A+C, Q2-B+A, Q3-C+B, Q4-D+B+C",N/A,ALIVE,N/A,False,2
20260520_200929,3,A,N/A,N/A,DEAD,N/A,False,0
20260520_200929,3,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201034,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201034,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201034,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_201034,1,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_201034,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_201034,2,B,Verify: Q4,N/A,ALIVE,N/A,False,2
20260520_201034,2,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_201034,2,D,N/A,N/A,DEAD,N/A,False,0
20260520_201146,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201146,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201146,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201146,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201219,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201219,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201219,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201219,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201246,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201246,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201246,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201246,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201326,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201326,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201326,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201326,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201421,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201421,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201421,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201421,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201451,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_201451,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201451,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201451,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201520,1,C,Pass,N/A,ALIVE,N/A,False,4
20260520_201520,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201520,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201520,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_201554,1,C,Pass,N/A,ALIVE,N/A,False,4
20260520_201554,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201554,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_201554,1,D,Pass,N/A,ALIVE,N/A,False,4
