game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20260522_002306,A,gemini:gemini-3.1-pro-preview,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260522_002306,B,gemini:gemini-3.1-pro-preview,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260522_002306,C,gemini:gemini-3.1-pro-preview,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260522_002306,D,dummy,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20260522_002432,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002432,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002432,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002432,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002512,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002512,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002512,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002512,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002546,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002546,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002546,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002546,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002618,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002618,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002618,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002618,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002651,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002651,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002651,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002651,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002718,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002718,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002718,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002718,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002748,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002748,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002748,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002748,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002817,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002817,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002817,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002817,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002849,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002849,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002849,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002849,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002920,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002920,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002920,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260522_002920,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
