game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260522_002306,2026-05-22 00:23:06.656927,2026-05-22 00:24:32.992066,4,ALL_DEAD,None,0,,86.335139
20260522_002432,2026-05-22 00:24:32.993059,2026-05-22 00:25:12.284977,1,SUCCESS,A,4,"A,B,C,D",39.291918
20260522_002512,2026-05-22 00:25:12.287959,2026-05-22 00:25:46.149929,1,SUCCESS,A,4,"A,B,C,D",33.86197
20260522_002546,2026-05-22 00:25:46.152352,2026-05-22 00:26:18.878104,1,SUCCESS,A,4,"A,B,C,D",32.725752
20260522_002618,2026-05-22 00:26:18.880438,2026-05-22 00:26:51.013135,1,SUCCESS,A,4,"A,B,C,D",32.132697
20260522_002651,2026-05-22 00:26:51.015468,2026-05-22 00:27:18.846154,1,SUCCESS,A,4,"A,B,C,D",27.830686
20260522_002718,2026-05-22 00:27:18.847812,2026-05-22 00:27:48.887278,1,SUCCESS,A,4,"A,B,C,D",30.039466
20260522_002748,2026-05-22 00:27:48.889523,2026-05-22 00:28:17.039557,1,SUCCESS,A,4,"A,B,C,D",28.150034
20260522_002817,2026-05-22 00:28:17.041512,2026-05-22 00:28:49.325366,1,SUCCESS,A,4,"A,B,C,D",32.283854
20260522_002849,2026-05-22 00:28:49.329283,2026-05-22 00:29:20.098429,1,SUCCESS,A,4,"A,B,C,D",30.769146
20260522_002920,2026-05-22 00:29:20.099965,2026-05-22 00:29:48.025056,1,SUCCESS,A,4,"A,B,C,D",27.925091
