player,game_id,survival,coins
A,20260522_004232,False,0
B,20260522_004232,False,0
C,20260522_004232,False,0
D,20260522_004232,False,0
A,20260522_004457,True,3
B,20260522_004457,True,3
C,20260522_004457,True,4
D,20260522_004457,True,4
A,20260522_004539,True,3
B,20260522_004539,True,3
C,20260522_004539,True,4
D,20260522_004539,True,4
A,20260522_004617,True,3
B,20260522_004617,True,3
C,20260522_004617,True,4
D,20260522_004617,True,4
A,20260522_004654,True,3
B,20260522_004654,True,3
C,20260522_004654,True,4
D,20260522_004654,True,4
A,20260522_004731,True,3
B,20260522_004731,True,3
C,20260522_004731,True,4
D,20260522_004731,True,4
A,20260522_004805,True,3
B,20260522_004805,True,3
C,20260522_004805,True,4
D,20260522_004805,True,4
A,20260522_004837,True,3
B,20260522_004837,True,3
C,20260522_004837,True,4
D,20260522_004837,True,4
A,20260522_004908,True,3
B,20260522_004908,True,3
C,20260522_004908,True,4
D,20260522_004908,True,4
A,20260522_004943,True,3
B,20260522_004943,True,3
C,20260522_004943,True,4
D,20260522_004943,True,4
A,20260522_005012,True,3
B,20260522_005012,True,3
C,20260522_005012,True,4
D,20260522_005012,True,4
