game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260521_144620,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144620,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144620,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_144620,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_144705,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144705,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144705,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_144705,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260521_144740,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144740,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144740,1,B,Pass,N/A,ALIVE,N/A,False,4
20260521_144740,1,C,Pass,N/A,ALIVE,N/A,False,4
20260521_144813,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144813,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144813,1,B,Pass,N/A,ALIVE,N/A,False,4
20260521_144813,1,C,Pass,N/A,ALIVE,N/A,False,4
20260521_144838,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144838,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144838,1,B,Pass,N/A,ALIVE,N/A,False,4
20260521_144838,1,C,Pass,N/A,ALIVE,N/A,False,4
20260521_144903,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144903,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144903,1,B,Pass,N/A,ALIVE,N/A,False,4
20260521_144903,1,C,Pass,N/A,ALIVE,N/A,False,4
20260521_144929,1,D,Pass,N/A,ALIVE,N/A,False,4
20260521_144929,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260521_144929,1,B,Pass,N/A,ALIVE,N/A,False,4
20260521_144929,1,C,Pass,N/A,ALIVE,N/A,False,4
