game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20260521_145407,A,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145407,B,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145407,C,gemini:gemini-3.1-pro-preview,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145407,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145515,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145515,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145515,C,gemini:gemini-3.1-pro-preview,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145515,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260521_145612,A,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145612,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145612,C,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145612,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145655,A,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145655,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145655,C,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145655,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145725,A,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145725,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145725,C,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145725,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145751,A,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145751,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145751,C,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145751,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145818,A,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145818,B,gemini:gemini-3.1-pro-preview,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145818,C,gemini:gemini-3.1-pro-preview,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260521_145818,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
