player,game_id,survival,coins
A,20260521_145846,True,4
B,20260521_145846,True,3
C,20260521_145846,True,3
D,20260521_145846,True,4
A,20260521_145938,True,4
B,20260521_145938,True,3
C,20260521_145938,True,3
D,20260521_145938,True,4
A,20260521_150010,True,4
B,20260521_150010,True,4
C,20260521_150010,True,4
D,20260521_150010,True,4
A,20260521_150100,True,4
B,20260521_150100,True,4
C,20260521_150100,True,4
D,20260521_150100,True,4
A,20260521_150142,True,4
B,20260521_150142,True,4
C,20260521_150142,True,4
D,20260521_150142,True,4
A,20260521_150203,True,4
B,20260521_150203,True,4
C,20260521_150203,True,4
D,20260521_150203,True,4
A,20260521_150228,True,4
B,20260521_150228,True,4
C,20260521_150228,True,4
D,20260521_150228,True,4
