game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260520_005226,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_005226,1,B,Pass,N/A,DIED,no_volunteer,False,0
20260520_005226,1,A,Pass,N/A,ALIVE,N/A,False,4
20260520_005226,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_005226,2,A,Pass,N/A,ALIVE,N/A,False,4
20260520_005226,2,C,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260520_005226,2,B,N/A,N/A,DEAD,N/A,False,0
20260520_005226,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_005226,3,A,"Volunteer: Q1-A+C, Q2-B+C, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20260520_005226,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_005226,3,B,N/A,N/A,DEAD,N/A,False,0
20260520_005226,3,D,Pass,N/A,ALIVE,N/A,False,4
20260520_005226,4,A,N/A,N/A,DEAD,N/A,False,0
20260520_005226,4,C,N/A,N/A,DEAD,N/A,False,0
20260520_005226,4,B,N/A,N/A,DEAD,N/A,False,0
20260520_005226,4,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_005408,1,C,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_005408,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260520_005408,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_005408,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_005408,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_005408,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260520_005408,2,B,N/A,N/A,DEAD,N/A,False,0
20260520_005408,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_005408,3,A,"Volunteer: Q1-A+B, Q2-B+A+C, Q3-C+A, Q4-D+C",N/A,ALIVE,N/A,False,2
20260520_005408,3,C,N/A,N/A,DEAD,N/A,False,0
20260520_005408,3,B,N/A,N/A,DEAD,N/A,False,0
20260520_005408,3,D,Pass,N/A,ALIVE,N/A,False,4
20260520_005710,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_005710,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_005710,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_005710,1,D,Pass,N/A,DIED,no_volunteer,False,0
20260520_005710,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260520_005710,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_005710,2,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_005710,2,D,N/A,N/A,DEAD,N/A,False,0
20260520_010040,1,C,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260520_010040,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_010040,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_010040,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010040,2,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_010040,2,C,N/A,N/A,DEAD,N/A,False,0
20260520_010040,2,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_010040,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010332,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010332,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_010332,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_010332,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010418,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_010418,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260520_010418,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_010418,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010418,2,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_010418,2,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D",N/A,ALIVE,N/A,False,3
20260520_010418,2,B,N/A,N/A,DEAD,N/A,False,0
20260520_010418,2,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010545,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010545,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010545,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_010545,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010646,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010646,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010646,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260520_010646,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010711,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010711,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260520_010711,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010711,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010733,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010733,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010733,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010733,1,D,Pass,N/A,ALIVE,N/A,False,4
20260520_010756,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010756,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010756,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20260520_010756,1,D,Pass,N/A,ALIVE,N/A,False,4
