game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260520_005226,2026-05-20 00:52:26.687102,2026-05-20 00:54:08.499370,4,ALL_DEAD,None,0,,101.812268
20260520_005408,2026-05-20 00:54:08.504160,2026-05-20 00:57:10.355278,3,SUCCESS,A,2,"A,D",181.851118
20260520_005710,2026-05-20 00:57:10.357976,2026-05-20 01:00:40.467850,2,SUCCESS,C,3,"A,B,C",210.109874
20260520_010040,2026-05-20 01:00:40.471817,2026-05-20 01:03:32.773699,2,SUCCESS,A,3,"A,B,D",172.301882
20260520_010332,2026-05-20 01:03:32.777886,2026-05-20 01:04:18.127597,1,SUCCESS,C,4,"A,B,C,D",45.349711
20260520_010418,2026-05-20 01:04:18.129715,2026-05-20 01:05:45.984208,2,SUCCESS,A,3,"A,C,D",87.854493
20260520_010545,2026-05-20 01:05:45.986109,2026-05-20 01:06:46.964789,1,SUCCESS,B,4,"A,B,C,D",60.97868
20260520_010646,2026-05-20 01:06:46.968431,2026-05-20 01:07:11.059660,1,SUCCESS,B,4,"A,B,C,D",24.091229
20260520_010711,2026-05-20 01:07:11.062868,2026-05-20 01:07:33.780275,1,SUCCESS,A,4,"A,B,C,D",22.717407
20260520_010733,2026-05-20 01:07:33.781765,2026-05-20 01:07:56.517828,1,SUCCESS,B,4,"A,B,C,D",22.736063
20260520_010756,2026-05-20 01:07:56.548844,2026-05-20 01:08:46.529473,1,SUCCESS,A,4,"A,B,C,D",49.980629
