player,game_id,survival,coins
A,20260520_202207,True,2
B,20260520_202207,False,0
C,20260520_202207,True,2
D,20260520_202207,False,0
A,20260520_202419,True,2
B,20260520_202419,False,0
C,20260520_202419,True,3
D,20260520_202419,True,4
A,20260520_202548,False,0
B,20260520_202548,True,3
C,20260520_202548,True,3
D,20260520_202548,True,4
A,20260520_202654,True,3
B,20260520_202654,True,3
C,20260520_202654,True,4
D,20260520_202654,True,4
A,20260520_202805,True,4
B,20260520_202805,True,3
C,20260520_202805,True,4
D,20260520_202805,True,4
A,20260520_202830,True,4
B,20260520_202830,True,3
C,20260520_202830,True,4
D,20260520_202830,True,4
A,20260520_202917,True,4
B,20260520_202917,True,3
C,20260520_202917,True,4
D,20260520_202917,True,4
