game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20251210_213256,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,DIED,wrong_password,False,0
20251210_213256,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20251210_213256,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_213256,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20251210_213256,2,B,N/A,N/A,DEAD,N/A,False,0
20251210_213256,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20251210_213256,2,D,Pass,N/A,DIED,no_volunteer,False,0
20251210_213256,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20251210_213256,3,B,N/A,N/A,DEAD,N/A,False,0
20251210_213256,3,C,"Volunteer: Q1-A+C, Q2-B+A, Q3-C+A, Q4-C",N/A,ALIVE,N/A,False,2
20251210_213256,3,D,N/A,N/A,DEAD,N/A,False,0
20251210_213256,3,A,"Volunteer: Q1-A+C, Q2-B+A, Q3-C+A, Q4-C",N/A,ALIVE,N/A,False,2
20251210_214330,1,B,Verify: Q4,N/A,ALIVE,N/A,False,3
20251210_214330,1,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20251210_214330,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_214330,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20251210_214330,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20251210_214330,2,D,Pass,N/A,ALIVE,N/A,False,4
20251210_214330,2,A,"Volunteer: Q1-A, Q2-B+A, Q3-C, Q4-D+B+C",N/A,ALIVE,N/A,False,3
20251210_214330,2,C,N/A,N/A,DEAD,N/A,False,0
20251210_215140,1,B,Verify: Q4,N/A,DIED,no_volunteer,False,0
20251210_215140,1,C,Verify: Q4,N/A,ALIVE,N/A,False,3
20251210_215140,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_215140,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20251210_215140,2,B,N/A,N/A,DEAD,N/A,False,0
20251210_215140,2,C,"Volunteer: Q1-A, Q2-B+A, Q3-C, Q4-D+B+C",N/A,ALIVE,N/A,False,3
20251210_215140,2,D,Pass,N/A,ALIVE,N/A,False,4
20251210_215140,2,A,"Volunteer: Q1-A, Q2-B+A, Q3-C, Q4-D+B+C",N/A,ALIVE,N/A,False,3
20251210_220030,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_220030,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_220030,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_220030,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_220704,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_220704,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_220704,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_220704,1,A,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_221210,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_221210,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_221210,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_221210,1,A,Pass,N/A,ALIVE,N/A,False,4
20251210_221658,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_221658,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_221658,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_221658,1,A,Pass,N/A,ALIVE,N/A,False,4
20251210_222118,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_222118,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_222118,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_222118,1,A,Pass,N/A,ALIVE,N/A,False,4
20251210_222518,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_222518,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_222518,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_222518,1,A,Pass,N/A,ALIVE,N/A,False,4
20251210_222831,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_222831,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_222831,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_222831,1,A,Pass,N/A,ALIVE,N/A,False,4
20251210_223114,1,B,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_223114,1,C,"Volunteer: Q1-A, Q2-B, Q3-C, Q4-D",N/A,ALIVE,N/A,False,4
20251210_223114,1,D,Pass,N/A,ALIVE,N/A,False,4
20251210_223114,1,A,Pass,N/A,ALIVE,N/A,False,4
