game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20251214_000943,2025-12-14 00:09:43.930893,2025-12-14 00:21:04.513192,4,SUCCESS,C,1,C,680.582299
20251214_002104,2025-12-14 00:21:04.520224,2025-12-14 00:25:40.196804,1,SUCCESS,B,4,"A,B,C,D",275.67658
20251214_002540,2025-12-14 00:25:40.199197,2025-12-14 00:30:29.074819,1,SUCCESS,B,4,"A,B,C,D",288.875622
20251214_003029,2025-12-14 00:30:29.078267,2025-12-14 00:34:12.257587,1,SUCCESS,B,4,"A,B,C,D",223.17932
20251214_003412,2025-12-14 00:34:12.263186,2025-12-14 00:39:18.924080,1,SUCCESS,B,4,"A,B,C,D",306.660894
20251214_003918,2025-12-14 00:39:18.927142,2025-12-14 00:42:28.765337,1,SUCCESS,B,4,"A,B,C,D",189.838195
20251214_004228,2025-12-14 00:42:28.769170,2025-12-14 00:45:31.466104,1,SUCCESS,B,4,"A,B,C,D",182.696934
20251214_004531,2025-12-14 00:45:31.470643,2025-12-14 00:48:32.190013,1,SUCCESS,B,4,"A,B,C,D",180.71937
20251214_004832,2025-12-14 00:48:32.192073,2025-12-14 00:51:38.078644,1,SUCCESS,B,4,"A,B,C,D",185.886571
20251214_005138,2025-12-14 00:51:38.083976,2025-12-14 00:54:06.727980,1,SUCCESS,B,4,"A,B,C,D",148.644004
20251214_005406,2025-12-14 00:54:06.733105,2025-12-14 00:56:54.657069,1,SUCCESS,B,4,"A,B,C,D",167.923964
