game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20251210_005702,2025-12-10 00:57:02.960289,2025-12-10 01:00:19.018083,2,SUCCESS,C,3,"B,C,D",196.057794
20251210_010019,2025-12-10 01:00:19.021417,2025-12-10 01:04:32.825367,1,SUCCESS,A,4,"A,B,C,D",253.80395
20251210_010432,2025-12-10 01:04:32.827776,2025-12-10 01:07:07.936206,1,SUCCESS,A,4,"A,B,C,D",155.10843
20251210_010707,2025-12-10 01:07:07.942397,2025-12-10 01:09:38.576173,1,SUCCESS,B,4,"A,B,C,D",150.633776
20251210_010938,2025-12-10 01:09:38.579594,2025-12-10 01:11:45.791106,1,SUCCESS,A,4,"A,B,C,D",127.211512
20251210_011145,2025-12-10 01:11:45.794754,2025-12-10 01:14:09.488938,1,SUCCESS,B,4,"A,B,C,D",143.694184
20251210_011409,2025-12-10 01:14:09.494780,2025-12-10 01:16:07.419638,1,SUCCESS,B,4,"A,B,C,D",117.924858
20251210_011607,2025-12-10 01:16:07.424463,2025-12-10 01:19:03.096271,1,SUCCESS,B,4,"A,B,C,D",175.671808
20251210_011903,2025-12-10 01:19:03.099127,2025-12-10 01:21:02.041940,1,SUCCESS,A,4,"A,B,C,D",118.942813
20251210_012102,2025-12-10 01:21:02.044894,2025-12-10 01:23:10.715977,1,SUCCESS,C,4,"A,B,C,D",128.671083
