game_id,round,agent_id,agent_decision,whom_to_verify,agent_status_end_of_round,death_reason,defaulted_to_pass,coins_end_of_round
20260608_131046,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
20260608_131046,1,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131046,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260608_131046,1,A,Verify: Q2,N/A,DIED,no_volunteer,False,0
20260608_131046,2,B,Verify: Q3,N/A,ALIVE,N/A,False,2
20260608_131046,2,D,Pass,N/A,DIED,no_volunteer,False,0
20260608_131046,2,C,Verify: Q4,N/A,ALIVE,N/A,False,2
20260608_131046,2,A,N/A,N/A,DEAD,N/A,False,0
20260608_131046,3,B,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+B, Q4-D+C",N/A,ALIVE,N/A,False,2
20260608_131046,3,D,N/A,N/A,DEAD,N/A,False,0
20260608_131046,3,C,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+B, Q4-D+C",N/A,ALIVE,N/A,False,2
20260608_131046,3,A,N/A,N/A,DEAD,N/A,False,0
20260608_131335,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260608_131335,1,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131335,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260608_131335,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260608_131335,2,B,N/A,N/A,DEAD,N/A,False,0
20260608_131335,2,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131335,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260608_131335,2,A,Verify: Q4,N/A,ALIVE,N/A,False,2
20260608_131335,3,B,N/A,N/A,DEAD,N/A,False,0
20260608_131335,3,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131335,3,C,N/A,N/A,DEAD,N/A,False,0
20260608_131335,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C, Q4-D+A+C",N/A,ALIVE,N/A,False,2
20260608_131550,1,B,Verify: Q1,N/A,DIED,no_volunteer,False,0
20260608_131550,1,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131550,1,C,Verify: Q1,N/A,ALIVE,N/A,False,3
20260608_131550,1,A,Verify: Q2,N/A,ALIVE,N/A,False,3
20260608_131550,2,B,N/A,N/A,DEAD,N/A,False,0
20260608_131550,2,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131550,2,C,Verify: Q4,N/A,DIED,no_volunteer,False,0
20260608_131550,2,A,Verify: Q3,N/A,ALIVE,N/A,False,2
20260608_131550,3,B,N/A,N/A,DEAD,N/A,False,0
20260608_131550,3,D,Pass,N/A,ALIVE,N/A,False,4
20260608_131550,3,C,N/A,N/A,DEAD,N/A,False,0
20260608_131550,3,A,"Volunteer: Q1-A+B+C, Q2-B+A, Q3-C+A, Q4-D+C",N/A,ALIVE,N/A,False,2
20260608_131813,1,B,Verify: Q1,N/A,ALIVE,N/A,False,3
