game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260608_131046,2026-06-08 13:10:46.330550,2026-06-08 13:13:35.667874,3,SUCCESS,B,2,"B,C",169.337324
20260608_131335,2026-06-08 13:13:35.671528,2026-06-08 13:15:50.731731,3,SUCCESS,A,2,"A,D",135.060203
20260608_131550,2026-06-08 13:15:50.733640,2026-06-08 13:18:13.654112,3,SUCCESS,A,2,"A,D",142.920472
20260608_131813,2026-06-08 13:18:13.659209,2026-06-08 13:20:30.514082,3,SUCCESS,B,2,"B,C",136.854873
20260608_132030,2026-06-08 13:20:30.517050,2026-06-08 13:22:30.529700,2,SUCCESS,B,3,"B,C,D",120.01265
20260608_132230,2026-06-08 13:22:30.532107,2026-06-08 13:26:03.405721,3,SUCCESS,A,2,"A,B",212.873614
20260608_132603,2026-06-08 13:26:03.408562,2026-06-08 13:29:07.015661,3,SUCCESS,C,2,"B,C",183.607099
20260608_132907,2026-06-08 13:29:07.018678,2026-06-08 13:32:22.889585,3,SUCCESS,B,2,"A,B",195.870907
20260608_133222,2026-06-08 13:32:22.891703,2026-06-08 13:34:37.045453,3,SUCCESS,A,2,"A,D",134.15375
20260608_133437,2026-06-08 13:34:37.050278,2026-06-08 13:36:58.068072,2,SUCCESS,B,3,"A,B,D",141.017794
