player,game_id,survival,coins
A,20260608_131046,False,0
B,20260608_131046,True,2
C,20260608_131046,True,2
D,20260608_131046,False,0
A,20260608_131335,True,2
B,20260608_131335,False,0
C,20260608_131335,False,0
D,20260608_131335,True,4
A,20260608_131550,True,2
B,20260608_131550,False,0
C,20260608_131550,False,0
D,20260608_131550,True,4
A,20260608_131813,False,0
B,20260608_131813,True,2
C,20260608_131813,True,2
D,20260608_131813,False,0
A,20260608_132030,False,0
B,20260608_132030,True,4
C,20260608_132030,True,2
D,20260608_132030,True,4
A,20260608_132230,True,2
B,20260608_132230,True,2
C,20260608_132230,False,0
D,20260608_132230,False,0
A,20260608_132603,False,0
B,20260608_132603,True,2
C,20260608_132603,True,2
D,20260608_132603,False,0
A,20260608_132907,True,2
B,20260608_132907,True,2
C,20260608_132907,False,0
D,20260608_132907,False,0
A,20260608_133222,True,2
B,20260608_133222,False,0
C,20260608_133222,False,0
D,20260608_133222,True,4
A,20260608_133437,True,2
B,20260608_133437,True,3
C,20260608_133437,False,0
D,20260608_133437,True,4
