comparison,cell_A,cell_B,n_A,n_B,scar_rate_A,scar_rate_B,p_fisher,cohens_h,mean_targ_A,mean_targ_B,p_mw,cohens_d,p_fisher_bh,p_mw_bh
Opus 1-strike vs 2-strike (count threshold),claude-opus-4-6/1strike,claude-opus-4-6/2strike,10,10,0.5,1.0,0.0325,1.571,0.52,1.178,0.0038,-1.559,0.2438,0.057
Sonnet 1-strike vs 2-strike (count threshold),claude-sonnet-4-6/1strike,claude-sonnet-4-6/2strike,10,10,0.3,0.9,0.0198,1.339,0.54,1.222,0.0541,-1.074,0.2438,0.2029
Opus 2-strike vs 3-strike (plateau),claude-opus-4-6/2strike,claude-opus-4-6/3strike,10,10,1.0,1.0,1.0,0.0,1.178,1.538,0.2913,-0.764,1.0,0.4158
Sonnet 2-strike vs 3-strike (plateau),claude-sonnet-4-6/2strike,claude-sonnet-4-6/3strike,10,10,0.9,0.9,1.0,0.0,1.222,0.962,0.4991,0.523,1.0,0.5759
Sonnet 2-strike vs recur (clustering),claude-sonnet-4-6/2strike,claude-sonnet-4-6/recur,10,10,0.9,0.4,0.0573,1.129,1.222,0.517,0.0467,1.125,0.2865,0.2029
Opus 2-strike vs recur (clustering),claude-opus-4-6/2strike,claude-opus-4-6/recur,10,10,1.0,0.7,0.2105,1.159,1.178,0.85,0.2495,0.647,0.4511,0.4158
Sonnet 2-strike vs mid2strike (timing),claude-sonnet-4-6/2strike,claude-sonnet-4-6/mid2strike,10,10,0.9,1.0,1.0,0.644,1.222,1.233,0.8081,-0.022,1.0,0.8081
Opus 2-strike vs mid2strike (timing),claude-opus-4-6/2strike,claude-opus-4-6/mid2strike,10,10,1.0,0.6,0.0867,1.369,1.178,0.867,0.1593,0.519,0.3251,0.3982
Opus 1-strike vs GPT-5.1 V1 1-strike,claude-opus-4-6/1strike,gpt5.1-high/1strike,10,10,0.5,0.4,1.0,0.201,0.52,0.56,0.6733,-0.089,1.0,0.7214
Sonnet 1-strike vs GPT-5.1 V1 1-strike,claude-sonnet-4-6/1strike,gpt5.1-high/1strike,10,10,0.3,0.4,1.0,0.21,0.54,0.56,0.4929,-0.038,1.0,0.5759
Pro 1-strike vs GPT-5.1 V1 1-strike,gemini-3.1-pro-preview/1strike,gpt5.1-high/1strike,10,10,0.7,0.4,0.3698,0.613,0.76,0.56,0.2228,0.461,0.6934,0.4158
Pro 1-strike vs Opus 1-strike,gemini-3.1-pro-preview/1strike,claude-opus-4-6/1strike,10,10,0.7,0.5,0.6499,0.412,0.76,0.52,0.2501,0.484,0.9748,0.4158
Pro 1-strike vs Sonnet 1-strike,gemini-3.1-pro-preview/1strike,claude-sonnet-4-6/1strike,10,10,0.7,0.3,0.1789,0.823,0.76,0.54,0.3049,0.388,0.4472,0.4158
Flash 1-strike vs Pro 1-strike,gemini-2.5-flash/1strike,gemini-3.1-pro-preview/1strike,10,10,0.9,0.7,0.582,0.516,1.12,0.76,0.12,0.76,0.97,0.36
Flash 1-strike vs Opus 1-strike,gemini-2.5-flash/1strike,claude-opus-4-6/1strike,10,10,0.9,0.5,0.1409,0.927,1.12,0.52,0.025,1.229,0.4227,0.1875
