folder,model,reasoning,refl,schedule,g1_sev,n_post,targ,nonq4_raw,smooth_baseline_nonq4,spill,scarred,survival,total_decisions,defaulted_decisions,api_errors,api_error_rate
ablation_d_schedule_opus_adaptive_norefl_2strike_20260520_014403,claude-opus-4-6,adaptive,none,2strike,MEMBER,9,1.2222,0.8889,1.5429,-0.654,1,84.09,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260520_021146,claude-opus-4-6,adaptive,none,2strike,CAUGHT,9,2.0,0.2222,1.5429,-1.3207,1,86.36,60,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260520_022808,claude-opus-4-6,adaptive,none,2strike,CATAS,9,1.0,1.1111,1.5429,-0.4318,1,86.36,56,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260520_023929,claude-opus-4-6,adaptive,none,2strike,CATAS,9,1.0,1.1111,1.5429,-0.4318,1,84.09,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260520_025241,claude-opus-4-6,adaptive,none,2strike,MEMBER,9,1.1111,1.2222,1.5429,-0.3207,1,81.82,61,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260522_013634,claude-opus-4-6,adaptive,none,2strike,CAUGHT,9,1.3333,1.1111,1.5429,-0.4318,1,84.09,63,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260522_015622,claude-opus-4-6,adaptive,none,2strike,CATAS,9,1.0,1.2222,1.5429,-0.3207,1,84.09,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260522_020959,claude-opus-4-6,adaptive,none,2strike,CATAS,9,1.0,1.1111,1.5429,-0.4318,1,84.09,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260522_022630,claude-opus-4-6,adaptive,none,2strike,CAUGHT,9,1.0,1.4444,1.5429,-0.0985,1,84.09,62,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_2strike_20260522_024558,claude-opus-4-6,adaptive,none,2strike,CAUGHT,9,1.1111,1.1111,1.5429,-0.4318,1,86.36,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260520_010633,claude-opus-4-6,adaptive,none,3strike,CATAS,8,1.0,1.625,1.5429,0.0821,1,75.0,69,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260520_200657,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,0.625,2.25,1.5429,0.7071,1,77.27,70,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260520_202625,claude-opus-4-6,adaptive,none,3strike,CATAS,8,1.0,1.0,1.5429,-0.5429,1,84.09,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260520_204051,claude-opus-4-6,adaptive,none,3strike,CATAS,8,1.625,1.0,1.5429,-0.5429,1,70.45,75,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260520_210508,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,2.375,0.0,1.5429,-1.5429,1,79.55,68,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260522_135750,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,1.0,2.0,1.5429,0.4571,1,65.91,82,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260522_141733,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,2.0,1.0,1.5429,-0.5429,1,70.45,81,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260522_144225,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,1.875,0.25,1.5429,-1.2929,1,86.36,60,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260522_145852,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,2.125,0.125,1.5429,-1.4179,1,84.09,63,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_3strike_20260522_151756,claude-opus-4-6,adaptive,none,3strike,CAUGHT,8,1.75,1.25,1.5429,-0.2929,1,70.45,81,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_mid2strike_20260520_213257,claude-opus-4-6,adaptive,none,mid2strike,CAUGHT,6,1.1667,0.1667,1.5429,-1.3762,1,72.73,67,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_mid2strike_20260520_215506,claude-opus-4-6,adaptive,none,mid2strike,CAUGHT,6,1.0,1.0,1.5429,-0.5429,1,81.82,63,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_mid2strike_20260520_221424,claude-opus-4-6,adaptive,none,mid2strike,CAUGHT,6,2.6667,0.0,1.5429,-1.5429,1,81.82,68,0,0,0.0
